,address,quantity,percetages
154,0xA1eAEbB9A2a9B0FfF379EFb8392D0cfD84673C6f,"305,068.004451688581794595",0.0305
155,0xD2D4867b8886C0cfC3DE5CcD5203EC66C6183764,"301,619.619366539889448356",0.0302
156,0x96CBB5e3c769a6e23b06d01Ba89d394e9aE5CB03,"301,563.171490284307314961",0.0302
157,0xDdBcDf710C21219dc5E56A6E1e8576FB4AA99d96,"300,000",0.0300
158,0x5609BD21a9C648345667e7af2fF8635B0A78Bd9a,"299,453.148169006379998706",0.0299
159,0x7f14D9F324ecCef0862F7590c19006Ff5F25146d,"298,437.844489963895952111",0.0298
160,0x3fEb837d02bDBE6f190DFFDE057ff80F77138f23,"298,399.718293764571242165",0.0298
161,0x1478078D85bE4F4bC4E970b2552077eA1c7B7223,"298,321.106306445218460364",0.0298
162,0x2Fc9478c3858733b6e9b87458D71044A2071a300,"295,275.229873649540176109",0.0295
163,0x2bF8F06adC558fb713fA2CCC221c9BCc72DbF75d,"294,787.827047038860098815",0.0295
164,0x4C5bD0257b2DBefFA40398C6794A5EB638A992cD,"293,453.444820018923053365",0.0293
165,0xCdB7241277ae9904DA4DBdc8FE4f58C955cA353A,"286,850.610621890678728351",0.0287
166,0xA1d5e7408b6744FA45a488A3C2a179C2E2688685,"286,474.217953954862640893",0.0286
167,0x95a104c16b94CA52B6c9069D82A13ca3F0c57607,"283,043.958287857181618127",0.0283
168,0x2417D60eAD0CD3ae36000F333A62E359cF4964b9,"282,291.158966927609556858",0.0282
169,0x5fDdAF29681F3aCD3ee5D88Ef150F066b4db9890,"280,354.895395652176172476",0.0280
170,0xCCb16263985566e2c508010F70c53e296C526f85,"274,669.999999999990562816",0.0275
171,0x22C887dac32491E4c5b9FA05EF95fBc648207EC7,"274,446.217422096921000207",0.0274
172,0x16b361681E7A8d1bFeCBC88f3F087b6dB40b2260,"274,020.904661702007518764",0.0274
173,0xC6E6Bb5Ab95D09dE5F247eAC3552dB8B1eB573d7,"271,320.727152129964561303",0.0271
174,0xf0EAfcf288a11B8b33371Ace3Ce2B306e572f01E,"269,055",0.0269
175,0xD053e25Ab7c8AbB38D6bb3e8abB81744255eF4fB,"264,136.2982819763626949",0.0264
176,0x4a2c52665584A92fE1A4415fCefE88F2Cf9E2381,"257,397.49385299202935685",0.0257
177,0x3Daac60407D549f59aEf8Ac5BdC3d7a4142d17E3,"256,880.962315136494638321",0.0257
178,0x73E68EEC54EEcAbfC50F417eBDc9f3Ac7dE0158d,"256,684.830334743969283176",0.0257
179,0xdd8156B4160DDA57aE32888726f29e863b5eA7D8,"255,201.954824951974226123",0.0255
180,0xBe4b6e51a0f80369d0569652CE6bc426cAf321d6,"253,732.359011003246161763",0.0254
181,0x03E3fd5638D4085e7787624e5dC89F16017dcB59,"251,423.066828482812253399",0.0251
182,0xf98B598fD41d0FcC815D9577e04d947fA6d78Ae0,"250,000",0.0250
183,0x09083D49Ee1EF20A313E1ac08b5Da72A09637C7c,"243,873.99695174025035367",0.0244
184,0x3fb4D41b7c1E9aD85636D8c809F68731346cBE00,"241,178.21792514614919097",0.0241
185,0x82be41F811172d73051f1d577f8eF05F53899d82,"241,085.298213996949444984",0.0241
186,0x2F04ed87b5Ac8b703565469311341b0b44e315d7,"240,902.522768669311093631",0.0241
187,0xfdAf91747E73201d158A1dF7aF5546F64CB80451,"239,902.661095250371735006",0.0240
188,0x802B00FcCbdE6863144171d612Bb135C5BDB030A,"237,825.345251012641801679",0.0238
189,0xDBDD68fce49e8BAE47c87Afb5488c382ec1cfc92,"237,648.128135349870151714",0.0238
190,0x634B09A0Ed8b0F2F79Dc042ACc726911aDEf2461,"237,187.861086984062397012",0.0237
191,0xbdfB0fBBf2B7Dca3CB0A557E0160856CaF679E67,"236,659.413539531695489983",0.0237
192,0x5cfD4E2C982A66B32120E43B016F29c21CBe9b7b,"235,484.4601917876243138",0.0235
193,0x0c034cF2050a18e6004EB16F106D19116091417a,"234,122.840009962302135537",0.0234
194,0xd91B3E957CB4f1736dDF5dEfCEca1AE53988bdbf,"232,868.168655975457292914",0.0233
195,0x89b50985B0F7DdbB68267a847de49ec867f4A6C8,"232,117.732208220020895939",0.0232
196,0x859bC5FE903dFe749FE3331512Ff7297D2E924f3,"231,941.012956908055084608",0.0232
197,0xFB774bCf2587d5A6286aeE5880D66214a42e1220,"231,231.304356118268476181",0.0231
198,0x5AaDB434293B4E1B8Fb2e84007e567506fe65a96,"230,866.346285205915138321",0.0231
199,0x65CF4Ecf9A71b4c9A5EafF0F6787095F3e3CebD9,"230,541.598636231010606901",0.0231
200,0x618B085F579B7d98492FA689796c1a27454bfc6e,"230,000.000000008720963352",0.0230
201,0x6b86794e11CFB1D454D9b38aC5ab5Ee2d1f87434,"229,916.342846448331177568",0.0230
202,0x7Cc983F8a64cC39cf615140bd49f9eCAabdd05ce,"229,232.906505514279702734",0.0229
203,0xF3dc3FA59E7595e7436513120974b3B4763fB87C,"228,584.714101600507039143",0.0229
204,0xA621d96935CAa8161bB5982E8b600C9ca06Bb780,"227,013.599917170690388316",0.0227
205,0x1a016f1132cF8Dcb799E453628e0568F3d9dB99c,"225,694.248285039827702093",0.0226
206,0x4e7be9A8343f6Fac55e2F9554415A1E8eFaA3b07,"224,712.575724786301943556",0.0225
207,0x7ecad4a95B11ADc5AfB16d6D2300A45792c640Ad,"215,171.855820379060360045",0.0215
208,0xe3d505d2e248E12C93c35ae582501F7C7c2A3371,"215,111.68339179041781848",0.0215
209,0x643D377E28A96A7197Fee5f2F4BB1e591ce06132,"213,820.375900642932371098",0.0214
210,0x8D7811aC30446f62FA77AD63A11399784133F91F,"213,275.870158117684044049",0.0213
211,0x30428a743e2A2F8D1C3FEa017E0D76440435fA8d,"211,521.082261720084958237",0.0212
212,0xbb367e752d845657FaD52f3b256a8d71Ccf750B7,"210,642.451178004663896039",0.0211
213,0x6Bc1F8b813F474152FeF87b2098F0a141ffA8C44,"206,157.843438790552645497",0.0206
214,0x5F2f473c825064D301942862bA636147E869Df33,"202,446.500100740791433821",0.0202
215,0x1ed12E6033E0c6516cFe73Fc00b35004C81f60f9,"202,440.740606835927797868",0.0202
216,0x3956246C627cDCbD282C13dbD7B0F228F06364Ee,"201,375.960615051271886827",0.0201
217,0xFbBD17c3E7B609Dc70b622991e6253C833923E95,"200,777.189075171948032593",0.0201
218,0xaF9B245B0A1EfC3E94eB7ED5d09A841649712390,"200,197.666977425082375971",0.0200
219,0x76A63d6a03562fb8Ee494f6bb4Dbf923aCcD2951,"200,000.000000826030399207",0.0200
220,0xDB8966A44cC7c58bb6d799633d6c4c87b5469DA2,"200,000",0.0200
221,0x136D02dC8Af604a5f943BE670F826B6cd5B9B660,"199,463.746150414642342353",0.0199
222,0x058e637732fCd50e7ca190FD1AB125750Eba66AE,"197,119.198244060970143478",0.0197
223,0x3B22edd2eD9deDB04ca680270F21C29030388290,"196,916.009479568526238845",0.0197
224,0x5373955C56a629349005CD5eC94b631b6dCe5841,"195,893.066777268281933329",0.0196
225,0x205DdF4C32D2283851Bd68366CE78694606309C1,"195,130.203153359291459643",0.0195
226,0xfe5dCa4a7A23825B3a4951fa28bF8BFC4811109E,"193,494.312480996823183976",0.0193
227,0xdA171777B912dE6c1F87eD11b790513565b79De8,"192,676.005487109274219824",0.0193
228,0x249D7aC1A9d1D15b6Ec0338049bA102BC32b1C2e,"191,708.773202904606647522",0.0192
229,0xdC7937cD21d7BaFF6F1A78fc511994D2734e38B4,"191,555.901575247867037852",0.0192
230,0x88E57735cD545d696377720C566f55701305de61,"191,340.990466506770301741",0.0191
231,0xB619BAE19cB313448F70F086831Af9e9A8784A69,"190,784.237008397595973781",0.0191
232,0x936A0301C3aF70735cBA249d5F3a96559028f880,"190,059.940008347518635228",0.0190
233,0x151aE8DF9a65F494311C8a879dbcfF330C3ca346,"189,646.079010039810832795",0.0190
234,0xbD0Ff34224D1721BF9808565bF97D23F4590ddEE,"186,397.766671062857857401",0.0186
235,0xd95DbD432852Cb01F0890bB79c146B1b09CEb046,"185,569.119566528577862187",0.0186
236,0x6aBd3bC3cB2bdfea28A7bbb2387cef3462D3B83E,"185,070.29818039223104416",0.0185
237,0x89A4c4C617B3AEbB65151b9c231C49DAD45ebC3A,"182,948.219656451755932771",0.0183
238,0x3c5E271b984d0B19564c65eaD52D168bEA9258Fb,"182,458.149926891706281269",0.0182
239,0x16866eE52cB12509c7d888385d34499d9CAF685c,"181,371.464826178242613089",0.0181
240,0x8239b8b3E9515a64e2475F198E0d1b3947111191,"181,096.482531671667984606",0.0181
241,0x5C834d1132E3EEB3243dbAbFE15AC32A960344EE,"181,019.648129013850042214",0.0181
242,0x9786aad82D24852e53362e44906A42674524De2B,"180,994.146635990807916963",0.0181
243,0x5d0E3c514066a2621f5F240f2c989dE4FeFD048A,"178,944",0.0179
244,0x5BDb756BD460eFB44860c79a9BF54De77fe56420,"178,801.835493889085974074",0.0179
245,0xbb165400963D64db7e9D89758B4a21ccB2819B00,"177,880.598483678898963744",0.0178
246,0x2Ae3209a126974AB1aa7403C1C297bFD501256D9,"175,000.772880409944935304",0.0175
247,0x18D3d1BeB50BB1e0f7edD1a1189622a34CA7bB63,"174,407.322351308149833741",0.0174
248,0x40c2Eae8879e50e3f8d9BF1F3585d55f45f8D5a4,"173,007.103297908004568876",0.0173
249,0xB97A925d8027E8633c2aADd377260F9d0126F7f1,"171,367.774871291345916763",0.0171
250,0x5B169fc22d129E2d386c0619d246C22568bc1a8d,"170,006.018566889003674911",0.0170
251,0x1e03fa0A2d55DA323B2A84Fa5e311e401065d2aa,"170,000.000000494067973592",0.0170
252,0x932b30bF9CF189AA10710E2D2b9eE07ECe851572,"169,679.569915309126928552",0.0170
253,0x7666894f6232bC700E5C7DD107Fce55343D0dafB,"168,325.347825861442874138",0.0168
254,0x4a942EAe8bDEf1398278C152242baa5671838204,"167,721.063947076775052151",0.0168
255,0xDDf3E81abA8dA14C401Dbd2577ea81B8a8e29e11,"167,185.38783082709415349",0.0167
256,0x58D8467E348bD2872d1c39D5369201e6a394d1F0,"165,944.716076904203508304",0.0166
257,0xf4d430dD8EaA0412c802fFb450250cC8B6117895,"165,267.738168853221566564",0.0165
258,0x2325442c13a34286E227207e964fDC45959001F9,"162,792.521072185099244266",0.0163
259,0x85458a44fa58f3E9b0FbC463641a8d4f82c0039C,"162,299.424010423090001566",0.0162
260,0x94E1764eC70a8C7A92e2A90824f854684490De46,"160,465.440469652375809803",0.0160
261,0x74eFC368964ee7E8249F1EbAE962979957929B8C,"160,196.448017869938857753",0.0160
262,0x5e04FB9a06EE4913F910f452BE1E7e369D5BA2fB,"160,021.662727101787087452",0.0160
263,0xd56165586e50621ec5C54e9Cccb49a98E75Bc7ee,"158,568.382620977331930948",0.0159
264,0xF977ccA294e8Af916B95894C3F13B182e2aEa931,"158,542.626277325297034163",0.0159
265,0xEE737a2901A6F085Fb05314a92B44E46130b420A,"158,250.234435525348191374",0.0158
266,0xa5460BE1f8C462D11c9AD198B793dC5e5c177e0E,"158,109.578064277408900745",0.0158
267,0x548FeB42cB733e7e5656872e70C20f13149F839b,"157,993",0.0158
268,0x34C52C8568aAa74E2fF75eBE925ea63C64B1E5fE,"157,071.348556196045407053",0.0157
269,0x6A4f324a6667AC5d0dE89cA4B99fC6C28E1f709D,"155,552.863797210020398125",0.0156
270,0x8A1b5040c64139F9B278F3B393F1A367a2084bb1,"155,367.570458576513820297",0.0155
271,0xC05600Fb8fE40B5259B73CbD611b807E319D2102,"154,677.829037057445901577",0.0155
272,0xBe94d3d9B23086F14e91fc25869A65110F5D37d6,"154,319.777570301004423585",0.0154
273,0x05F983276ba915F60AFa7510F262851d8CDb992b,"153,519.795339752677379259",0.0154
274,0xEFB684c0d91a118eC08b54dFB96D6CcfDe37776D,"153,268.742298439415173093",0.0153
275,0x97A2Fe64Fbc036234680d80c21d8368E4945Bf06,"152,372.833986492886264285",0.0152
276,0x6d0BBe84eBa47434a0004fc65797B87eF1C913b7,"150,993.725096887780484109",0.0151
277,0x221643f93B34402FFA5CFA5d4BFc5fda5D110250,"150,000.00000015844458383",0.0150
278,0x600d7626356e3Ed14A40b2Cff0a3FC67146cd901,"149,851.965789273733614873",0.0150
279,0xbF016CCf042F6BBA524b246f7d90aAC0Ac83a656,"149,828.571106893282787738",0.0150
280,0xe9ca5757Aa58e3f852D8d6C20581FC4c39769549,"149,374.275422697377880076",0.0149
281,0x3d9A49724803ADd8f2dcb42130593bcb84A34766,"149,325.019043880604970817",0.0149
282,0x4c818E0055CBf199B15425c749f276dcbaf3Af3a,"148,881.042639179709468911",0.0149
