,address,quantity,percetages,value
208,0x5A8ECCfC1E61987bE9967be558a533ee27B0a793,"1,068,953.967934749126665458",1.0690,"$5,773.22"
209,0x6B03440CD77521A14e0F78cBBa153d16a82aD84E,"1,066,368.992554184784170084",1.0664,"$5,759.26"
210,0x632F52C617Ff59Efc5609AaD2d52116DbbB1916c,"1,057,737.574299472989095316",1.0577,"$5,712.65"
211,0x9f799D584EAA8109465ff335BEc78Ba858059a6c,"1,049,672.859293042333029867",1.0497,"$5,669.09"
212,0xbBB6cea93d199A454fb161b3FcA5eB4294d5fbD6,"1,049,143.10120732507943891",1.0491,"$5,666.23"
213,0x7E2C8c6dd74D5378710271749848235cc098FF8A,"1,048,327.344093192547174171",1.0483,"$5,661.82"
214,0x585d118310EA4A82C8ad6ea1fdbD26A2971570E2,"1,036,720.193456632603371404",1.0367,"$5,599.14"
215,0x9642b23Ed1E01Df1092B92641051881a322F5D4E,"1,028,985.779921412787427611",1.0290,"$5,557.36"
216,0x3A6154998397441C7DA755e93eEcC2f2460Be365,"1,028,327.060659433702104812",1.0283,"$5,553.81"
217,0x930F61d4E4df28eaBC97559c1C8b4693e0274164,"1,026,252.14776465115681881",1.0263,"$5,542.60"
218,0x48b4e97DfAE0C023Cc36CA9d0c99D466c6541443,"1,018,313.382196429026260276",1.0183,"$5,499.72"
219,0x938B2bc24167B656865a9D59EA7B9b032D911993,"1,012,052.579151536763631868",1.0121,"$5,465.91"
220,0x74265D51127E931133b721E3Cb068080A059cf1B,"1,009,789.590371622149559564",1.0098,"$5,453.69"
221,0x84dbbd8cC8407B2AA9Af1F79C1331FF45419868a,"1,000,964.344403431471457424",1.0010,"$5,406.02"
222,0x585CF65652098a964d052fA3629601b4cDC4C956,"1,000,585.205007563086075987",1.0006,"$5,403.98"
223,0xCC5494f7c0878A727cdb8530d0Bf16e8fbc5dcdC,"1,000,001.047729361317388372",1.0000,"$5,400.82"
224,0xffcc995A004c26A059248C15Afa92F006B315fAb,"1,000,000.888638067966996931",1.0000,"$5,400.82"
225,0xF4Cfa195eeA846AAEe451AB48fE0378e13b03A57,"1,000,000.000000059420540356",1.0000,"$5,400.82"
226,0xB89E31F151AbeaF89580FfEee9dE1607Eb247F3E,"1,000,000.000000000002143705",1.0000,"$5,400.82"
227,0xa6CA72401BF45c7194148C3d98A2E1F8a219b2d9,"1,000,000",1.0000,"$5,400.82"
228,0x89974C7184542cCe03a1410AbCf8A93FbBF9d882,"1,000,000",1.0000,"$5,400.82"
229,0x9c03734422CcbedB0E857D31C3df20113F1B5EA6,"980,131.138065504787543177",0.9801,"$5,293.51"
230,0x511531b5877fC1cc5Cb8Df2Eb2A7b3F48731b691,"972,455.740525104873048381",0.9725,"$5,252.06"
231,0x355b7B00822f64A16bf304C20EE4ee0b244130b6,"964,602.837145100902042094",0.9646,"$5,209.64"
232,0xFACab8e8c5bdfa784Fda2186B4f4A0951A92fCA8,"960,442.341192326097314947",0.9604,"$5,187.17"
